"no","release_tag","content","heading","content_label","issue_link","commit_link","pr_link","content_from","milestone",,,,,,,,,
35,"v2.5.1","   Correct Kotlin version requirements in documentation ","  Documentation",,"https://github.com/spring-projects/spring-boot/issues/26655)",,,,,,,,,,,,,
36,"v2.5.1","   Document spring.profiles.default property ","  Documentation",,"https://github.com/spring-projects/spring-boot/issues/26654)",,,,,,,,,,,,,
37,"v2.5.1","   Add link to Maven Git Commit Id Plugin ","  Documentation",,,,"https://github.com/spring-projects/spring-boot/pull/26635)",,,,,,,,,,,
38,"v2.5.1","   Rework build-image-customization table in docs ","  Documentation",,"https://github.com/spring-projects/spring-boot/issues/25739)",,,,,,,,,,,,,
39,"v2.5.1","   Upgrade to AppEngine SDK 1.9.89 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26798)",,,,,,,,,,,,,
40,"v2.5.1","   Upgrade to Couchbase Client 3.1.6 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26799)",,,,,,,,,,,,,
41,"v2.5.1","   Upgrade to Dropwizard Metrics 4.1.22 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26800)",,,,,,,,,,,,,
42,"v2.5.1","   Upgrade to Ehcache3 3.9.4 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26801)",,,,,,,,,,,,,
43,"v2.5.1","   Upgrade to Git Commit ID Plugin 4.0.5 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26845)",,,,,,,,,,,,,
44,"v2.5.1","   Upgrade to Gson 2.8.7 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26802)",,,,,,,,,,,,,
45,"v2.5.1","   Upgrade to Hibernate 5.4.32.Final ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26803)",,,,,,,,,,,,,
46,"v2.5.1","   Upgrade to Infinispan 12.1.4.Final ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26804)",,,,,,,,,,,,,
47,"v2.5.1","   Upgrade to JBoss Logging 3.4.2.Final ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26805)",,,,,,,,,,,,,
48,"v2.5.1","   Upgrade to Jetty 9.4.42.v20210604 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26838)",,,,,,,,,,,,,
49,"v2.5.1","   Upgrade to Jetty Reactive HTTPClient 1.1.9 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26837)",,,,,,,,,,,,,
50,"v2.5.1","   Upgrade to Johnzon 1.2.13 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26806)",,,,,,,,,,,,,
51,"v2.5.1","   Upgrade to jOOQ 3.14.11 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26807)",,,,,,,,,,,,,
52,"v2.5.1","   Upgrade to Kotlin 1.5.10 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26652)",,,,,,,,,,,,,
53,"v2.5.1","   Upgrade to Neo4j Java Driver 4.2.6 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26808)",,,,,,,,,,,,,
54,"v2.5.1","   Upgrade to RSocket 1.1.1 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26839)",,,,,,,,,,,,,
55,"v2.5.1","   Upgrade to Spring AMQP 2.3.8 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26764)",,,,,,,,,,,,,
56,"v2.5.1","   Upgrade to Spring Framework 5.3.8 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26761)",,,,,,,,,,,,,
57,"v2.5.1","   Upgrade to Spring Kafka 2.7.2 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26765)",,,,,,,,,,,,,
58,"v2.5.1","   Upgrade to Undertow 2.2.8.Final ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26809)",,,,,,,,,,,,,
66,"v2.4.7","   MetricsRestTemplateCustomizer and LocalHostUriTemplateHandler cannot be used together when building a RestTemplate with RestTemplateBuilder ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26826)",,,,,,,,,,,,,
67,"v2.4.7","   CompositeHealth.getDetails does not serialize if MapperFeature.CAN_OVERRIDE_ACCESS_MODIFIERS is disabled ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26822)",,,,,,,,,,,,,
68,"v2.4.7","   A spring.config.import declared in an application-.properties file calls ConfigDataLocationResolver.resolveProfileSpecific ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26753)",,,,,,,,,,,,,
69,"v2.4.7","   A spring.config.import declared in an application.properties file also attempts to import profile-specific files ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26752)",,,,,,,,,,,,,
70,"v2.4.7","   Jar startup fails on JDK 11 with a SecurityManager enabled ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26743)",,,,,,,,,,,,,
71,"v2.4.7","   Possible divide by zero bugs when using RandomValuePropertySource ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26738)",,,,,,,,,,,,,
72,"v2.4.7","   LoggingSystem should not return LogbackLoggingSystem if logback-classic is not available ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26724)",,,,,,,,,,,,,
73,"v2.4.7","   bootBuildImage runs forever when a custom image name is used and the version contains an illegal character ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26702)",,,,,,,,,,,,,
74,"v2.4.7","   Non-static nested `@Configuration` in JerseySameManagementContextConfiguration ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26696)",,,,,,,,,,,,,
75,"v2.4.7","   Gradle plugin does not provided public constant for the productionRuntimeClasspath configuration ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26686)",,,,,,,,,,,,,
76,"v2.4.7","   No subdirectories found for mandatory directory location 'file:./config//' is thrown when config dir exists ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26627)",,,,,,,,,,,,,
77,"v2.4.7","   Auto-configured resource handlers don't get applied to child contexts ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26622)",,,,,,,,,,,,,
78,"v2.4.7","   Profile-specific property files are incorrectly ordered when both '.' and './config' folders are used in the same application ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26593)",,,,,,,,,,,,,
79,"v2.4.7","   SingleSignOnService Binding from SAML IdP metadata gets overridden by default ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26454)",,,,,,,,,,,,,
80,"v2.4.7","   Link to Spring Data JPA points to Spring Data JDBC ","  Documentation",,"https://github.com/spring-projects/spring-boot/issues/26740)",,,,,,,,,,,,,
81,"v2.4.7","   Clarify when a connection pool is created for Redis ","  Documentation",,"https://github.com/spring-projects/spring-boot/issues/26734)",,,,,,,,,,,,,
82,"v2.4.7","   Polish description of server.servlet.session.cookie.domain ","  Documentation",,"https://github.com/spring-projects/spring-boot/issues/26716)",,,,,,,,,,,,,
83,"v2.4.7","   Document Kubernetes terminationGracePeriodSeconds ","  Documentation",,"https://github.com/spring-projects/spring-boot/issues/26700)",,,,,,,,,,,,,
84,"v2.4.7","   Document spring.profiles.default property ","  Documentation",,"https://github.com/spring-projects/spring-boot/issues/26653)",,,,,,,,,,,,,
85,"v2.4.7","   Correct Kotlin version requirements in documentation ","  Documentation",,,,"https://github.com/spring-projects/spring-boot/pull/26421)",,,,,,,,,,,
86,"v2.4.7","   Upgrade to AppEngine SDK 1.9.89 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26783)",,,,,,,,,,,,,
87,"v2.4.7","   Upgrade to Dropwizard Metrics 4.1.22 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26784)",,,,,,,,,,,,,
88,"v2.4.7","   Upgrade to Ehcache3 3.9.4 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26785)",,,,,,,,,,,,,
89,"v2.4.7","   Upgrade to Gson 2.8.7 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26786)",,,,,,,,,,,,,
90,"v2.4.7","   Upgrade to Hibernate 5.4.32.Final ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26787)",,,,,,,,,,,,,
91,"v2.4.7","   Upgrade to JBoss Logging 3.4.2.Final ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26788)",,,,,,,,,,,,,
92,"v2.4.7","   Upgrade to Jetty 9.4.42.v20210604 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26834)",,,,,,,,,,,,,
93,"v2.4.7","   Upgrade to Jetty Reactive HTTPClient 1.1.9 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26833)",,,,,,,,,,,,,
94,"v2.4.7","   Upgrade to Johnzon 1.2.13 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26789)",,,,,,,,,,,,,
95,"v2.4.7","   Upgrade to jOOQ 3.14.11 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26790)",,,,,,,,,,,,,
96,"v2.4.7","   Upgrade to Neo4j Java Driver 4.1.3 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26835)",,,,,,,,,,,,,
97,"v2.4.7","   Upgrade to RSocket 1.1.1 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26836)",,,,,,,,,,,,,
98,"v2.4.7","   Upgrade to Spring AMQP 2.3.8 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26762)",,,,,,,,,,,,,
99,"v2.4.7","   Upgrade to Spring Framework 5.3.8 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26760)",,,,,,,,,,,,,
100,"v2.4.7","   Upgrade to Spring Kafka 2.6.9 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26763)",,,,,,,,,,,,,
101,"v2.4.7","   Upgrade to Undertow 2.2.8.Final ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26791)",,,,,,,,,,,,,
106,"v2.3.12.RELEASE","   MetricsRestTemplateCustomizer and LocalHostUriTemplateHandler cannot be used together when building a RestTemplate with RestTemplateBuilder ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26812)",,,,,,,,,,,,,
107,"v2.3.12.RELEASE","   CompositeHealth.getDetails does not serialize if MapperFeature.CAN_OVERRIDE_ACCESS_MODIFIERS is disabled ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26797)",,,,,,,,,,,,,
108,"v2.3.12.RELEASE","   LoggingSystem should not return LogbackLoggingSystem if logback-classic is not available ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26711)",,,,,,,,,,,,,
109,"v2.3.12.RELEASE","   Non-static nested `@Configuration` in JerseySameManagementContextConfiguration ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26695)",,,,,,,,,,,,,
110,"v2.3.12.RELEASE","   Possible divide by zero bugs when using RandomValuePropertySource ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26628)",,,,,,,,,,,,,
111,"v2.3.12.RELEASE","   Auto-configured resource handlers don't get applied to child contexts ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/25743)",,,,,,,,,,,,,
112,"v2.3.12.RELEASE","   Jar startup fails on JDK 11 with a SecurityManager enabled ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/25538)",,,,,,,,,,,,,
113,"v2.3.12.RELEASE","   bootBuildImage runs forever when a custom image name is used and the version contains an illegal character ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/23115)",,,,,,,,,,,,,
114,"v2.3.12.RELEASE","   Link to Spring Data JPA points to Spring Data JDBC ","  Documentation",,"https://github.com/spring-projects/spring-boot/issues/26736)",,,,,,,,,,,,,
115,"v2.3.12.RELEASE","   Clarify when a connection pool is created for Redis ","  Documentation",,"https://github.com/spring-projects/spring-boot/issues/26733)",,,,,,,,,,,,,
116,"v2.3.12.RELEASE","   Polish description of server.servlet.session.cookie.domain ","  Documentation",,,,"https://github.com/spring-projects/spring-boot/pull/26713)",,,,,,,,,,,
117,"v2.3.12.RELEASE","   Document spring.profiles.default property ","  Documentation",,"https://github.com/spring-projects/spring-boot/issues/26592)",,,,,,,,,,,,,
118,"v2.3.12.RELEASE","   Document Kubernetes terminationGracePeriodSeconds ","  Documentation",,"https://github.com/spring-projects/spring-boot/issues/26469)",,,,,,,,,,,,,
119,"v2.3.12.RELEASE","   Upgrade to AppEngine SDK 1.9.89 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26776)",,,,,,,,,,,,,
120,"v2.3.12.RELEASE","   Upgrade to Dropwizard Metrics 4.1.22 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26777)",,,,,,,,,,,,,
121,"v2.3.12.RELEASE","   Upgrade to Gson 2.8.7 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26778)",,,,,,,,,,,,,
122,"v2.3.12.RELEASE","   Upgrade to Hibernate 5.4.32.Final ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26779)",,,,,,,,,,,,,
123,"v2.3.12.RELEASE","   Upgrade to JBoss Logging 3.4.2.Final ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26780)",,,,,,,,,,,,,
124,"v2.3.12.RELEASE","   Upgrade to Jetty 9.4.42.v20210604 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26830)",,,,,,,,,,,,,
125,"v2.3.12.RELEASE","   Upgrade to Jetty Reactive HTTPClient 1.1.9 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26829)",,,,,,,,,,,,,
126,"v2.3.12.RELEASE","   Upgrade to Johnzon 1.2.13 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26781)",,,,,,,,,,,,,
127,"v2.3.12.RELEASE","   Upgrade to Neo4j OGM 3.2.24 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26831)",,,,,,,,,,,,,
128,"v2.3.12.RELEASE","   Upgrade to RSocket 1.0.5 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26832)",,,,,,,,,,,,,
129,"v2.3.12.RELEASE","   Upgrade to Spring AMQP 2.2.18 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26770)",,,,,,,,,,,,,
130,"v2.3.12.RELEASE","   Upgrade to Spring Integration 5.3.8 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26772)",,,,,,,,,,,,,
131,"v2.3.12.RELEASE","   Upgrade to Spring Kafka 2.5.14 ","  Dependency Upgrades",,"https://github.com/spring-projects/spring-boot/issues/26771)",,,,,,,,,,,,,
134,"v2.5.0","   Auto-configured resource handlers don't get applied to child contexts ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26623)",,,,,,,,,,,,,
135,"v2.5.0","   Actuator doesn't use the CORS Configuration with default security configuration and Spring Webflux ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26614)",,,,,,,,,,,,,
136,"v2.5.0","   Actuator doesn't use the CORS Configuration with default security configuration and Spring MVC ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26612)",,,,,,,,,,,,,
137,"v2.5.0","   SpringApplication additional profiles and active profiles ordering changed with Spring Boot 2.4 ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26610)",,,,,,,,,,,,,
138,"v2.5.0","   An active request delays Jetty's shutdown by 30 seconds ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26608)",,,,,,,,,,,,,
139,"v2.5.0","   SmartInitializingSingleton beans are not working with lazy initialization ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26606)",,,,,,,,,,,,,
140,"v2.5.0","   MVC and WebFlux metrics filters adversely affect the response when metrics recording fails ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26596)",,,,,,,,,,,,,
141,"v2.5.0","   ConfigDataResolvers cannot signal that they should be skipped ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26585)",,,,,,,,,,,,,
142,"v2.5.0","   Remote devtools endpoint cannot be accessed if actuator and spring security are on the classpath ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26584)",,,,,,,,,,,,,
143,"v2.5.0","   The error message when a wildcard directory location does not match any files is misleading ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26583)",,,,,,,,,,,,,
144,"v2.5.0","   Mandatory locations with pattern fail with exception ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26582)",,,,,,,,,,,,,
145,"v2.5.0","   Non-optional locations with wildcards fail if no files are contributed ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26581)",,,,,,,,,,,,,
146,"v2.5.0","   Profiles programmatically set on the Envionment are no longer merged with active profile properties ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26580)",,,,,,,,,,,,,
147,"v2.5.0","   Use of spring.profiles.include in a profile-specific document is not detected when it's configured as a YAML list ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26575)",,,,,,,,,,,,,
148,"v2.5.0","   ConfigurationProperties is retrieved via classpath scanning but does not indicate it should be indexed ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26463)",,,,,,,,,,,,,
149,"v2.5.0","   BufferingApplicationStartup fails with NoSuchElementException ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26458)",,,,,,,,,,,,,
150,"v2.5.0","   Building an image fails when using a custom buildpack image with long file names ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26445)",,,,,,,,,,,,,
151,"v2.5.0","   Additional profiles are processed too late when legacy processing is used ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26434)",,,,,,,,,,,,,
152,"v2.5.0","   Config data location does not exist error can be thrown if a profile-specific properties file is directly imported ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26402)",,,,,,,,,,,,,
153,"v2.5.0","   StandardConfigDataLoader can import profile specific files in incorrect order ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26401)",,,,,,,,,,,,,
154,"v2.5.0","   Resolvability and consumability of productionRuntimeClasspath are not aligned with runtimeClasspath ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26365)",,,,,,,,,,,,,
155,"v2.5.0","   ObjectMapper provided by JacksonAutoConfiguration via JacksonClusterEnvironmentBuilderCustomizer breaks Couchbase driver ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26363)",,,,,,,,,,,,,
156,"v2.5.0","   Empty value in spring.config.import causes NullPointerException ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26346)",,,,,,,,,,,,,
157,"v2.5.0","   `@DataRedisTest` does not consider `RedisReactiveAutoConfiguration` ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26328)",,,,,,,,,,,,,
158,"v2.5.0","   When a single bean causes a dependency cycle the failure analysis does not clearly illustrate the cycle ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26323)",,,,,,,,,,,,,
159,"v2.5.0","   SpringBootConfiguration is retrieved via classpath scanning but does not indicate it should be indexed ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26318)",,,,,,,,,,,,,
160,"v2.5.0","   Maven spring-boot:build-image ignores ZIP layout ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26313)",,,,,,,,,,,,,
161,"v2.5.0","   bootBuildImage does not pick up targetCompatibility when it's configured after task is customised ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26301)",,,,,,,,,,,,,
162,"v2.5.0","   Configuration item metadata ordering is not consistent ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26277)",,,,,,,,,,,,,
163,"v2.5.0","   `@EnableAutoConfiguration` and `@ImportAutoConfiguration` use different class loaders to find candidate configurations ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26237)",,,,,,,,,,,,,
164,"v2.5.0","   'spring.web.resources.cache.use-last-modified=false' doesn't work with Spring MVC ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26233)",,,,,,,,,,,,,
165,"v2.5.0","   Restore support for binding configuration properties from RandomValuePropertySource ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26201)",,,,,,,,,,,,,
166,"v2.5.0","   `@Scheduled` method not triggered when spring.main.lazy-initialization=true ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26156)",,,,,,,,,,,,,
167,"v2.5.0","   When classes in spring-core and spring-boot are loaded by different ClassLoaders, spring-boot cannot find its own config data location resolvers ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26155)",,,,,,,,,,,,,
168,"v2.5.0","   ConfigFileApplicationListener#loadPostProcessors can not load EnvironmentPostProcessor in child classLoader ","  Bug Fixes",,"https://github.com/spring-projects/spring-boot/issues/26126)",,,,,,,,,,,,,
169,"v2.5.0","   Info endpoint in reference doc has outdated defaults ","  Documentation",,,,"https://github.com/spring-projects/spring-boot/pull/26591)",,,,,,,,,,,
